n,gender,archetype,best_strategy,best_aw_mae,best_exact_pct,best_outcome_pct,Plan05_aw,ExpA_aw,ExpB_aw,ExpC_aw,ExpD_aw
1920,M,men_low_score_qualifier,ExpB,2.058990342978894,16.822916666666668,56.30208333333333,2.0831715466060463,2.073032272042749,2.058990342978894,2.073032272042749,2.073032272042749
3900,M,men_compact_draw,ExpB,2.111265222755169,15.512820512820513,53.38461538461539,2.119260737057296,2.119704566244102,2.111265222755169,2.1129261090370086,2.119704566244102
7144,M,men_qualifier_mismatch,Plan02,2.238383059127805,12.849944008958566,61.80011198208286,2.256292696117902,2.2551799789910825,2.2668487802489943,2.2551799789910825,2.2551799789910825
6140,M,men_default,ExpD,2.316814094095882,13.615635179153093,56.41693811074918,2.336950969972472,2.3209583066787496,2.3209583066787496,2.3209583066787496,2.316814094095882
7204,M,men_friendly_low,ExpA,2.342084014378931,9.95280399777901,53.886729594669625,2.376214190626944,2.342084014378931,2.342084014378931,2.342084014378931,2.342084014378931
1340,M,men_concacaf_ofc_high_tail,ExpC,2.5878595314311257,9.402985074626866,60.895522388059696,2.68138841777768,2.6213187010540575,2.6435955701152185,2.5878595314311257,2.6213187010540575
816,M,men_regional_volatile,ExpD,3.08444942651509,8.57843137254902,60.90686274509803,3.10092484888997,3.0915841281314376,3.0915841281314376,3.0915841281314376,3.08444942651509
1562,W,women_elite_compact,ExpB,2.3149600090955103,14.020486555697822,57.874519846350836,2.326019621186212,2.3188682351549397,2.3149600090955103,2.3188682351549397,2.3188682351549397
1488,W,women_uefa_qualifier_era,ExpB,2.5450062629202335,9.946236559139784,71.9758064516129,2.558915119607962,2.5460988629035355,2.5450062629202335,2.5451536635263596,2.5460988629035355
2214,W,women_friendly_conservative,Plan05,2.605412238915809,9.078590785907858,59.98193315266486,2.605412238915809,2.605412238915809,2.605412238915809,2.605412238915809,2.605412238915809
1836,W,women_africa_compact,ExpB,2.6115265493758497,11.87363834422658,64.65141612200436,2.6664078082225937,2.6356990400998193,2.6115265493758497,2.6356990400998193,2.6312138233245244
3214,W,women_default,ExpD,2.6728843182279025,11.04542626011201,61.57436216552582,2.6958526739291035,2.686941092453545,2.6860658860607396,2.6865034892571424,2.6728843182279025
1868,W,women_qualifier_strong,ExpB,2.738022619036632,8.083511777301927,72.48394004282656,2.7491750500762357,2.7491750500762357,2.738022619036632,2.738022619036632,2.7491750500762357
370,W,women_regional_volatile,ExpB,2.9677610717073586,8.378378378378379,65.4054054054054,3.0198595454345165,3.0198595454345165,2.9677610717073586,3.0198595454345165,3.0198595454345165
1406,W,women_qualifier_blowout,ExpB,3.0940658299860413,8.677098150782362,77.16927453769559,3.1511974764015,3.1272653373053796,3.0940658299860413,3.126165461083349,3.1272653373053796
