strategy,exact_pct,outcome_pct,aw_mae
ExpC,11.543538729904295,59.89816604591957,2.4214731348567713
ExpB,11.684974777238226,59.9028805808307,2.421663851943905
ExpD,11.453962566592805,59.85337796426382,2.421750883165682
ExpA,11.402102682570364,59.89816604591957,2.4237470340340628
Plan05,11.395030880203667,59.596435811607186,2.438050524652416
Plan04,11.350242798547923,59.620008486162845,2.440121055731396
Plan03,11.300740181981048,59.60822214888501,2.441487665748239
Plan02,11.354957333459053,59.59172127669605,2.446374588670991
Plan01,10.907076516901608,59.14619772759417,2.4737294618721384
